teamCity,teamName,first_season,last_season,franchise_current_name
Tri-Cities,Blackhawks,1950,1951,Atlanta Hawks
Milwaukee,Hawks,1952,1955,Atlanta Hawks
St. Louis,Hawks,1956,1968,Atlanta Hawks
Atlanta,Hawks,1969,2026,Atlanta Hawks
New York,Nets,1977,1977,Brooklyn Nets
New Jersey,Nets,1978,2012,Brooklyn Nets
Brooklyn,Nets,2013,2026,Brooklyn Nets
Charlotte,Hornets,1989,2026,Charlotte Hornets
Charlotte,Bobcats,2005,2014,Charlotte Hornets
Ft. Wayne Zollner,Pistons,1949,1957,Detroit Pistons
Detroit,Pistons,1958,2026,Detroit Pistons
Philadelphia,Warriors,1947,1962,Golden State Warriors
San Francisco,Warriors,1963,1971,Golden State Warriors
Golden State,Warriors,1972,2026,Golden State Warriors
San Diego,Rockets,1968,1971,Houston Rockets
Houston,Rockets,1972,2026,Houston Rockets
Buffalo,Braves,1971,1978,LA Clippers
San Diego,Clippers,1979,1984,LA Clippers
Los Angeles,Clippers,1985,2025,LA Clippers
LA,Clippers,2026,2026,LA Clippers
Minneapolis,Lakers,1949,1960,Los Angeles Lakers
Los Angeles,Lakers,1961,2026,Los Angeles Lakers
Vancouver,Grizzlies,1996,2001,Memphis Grizzlies
Memphis,Grizzlies,2002,2026,Memphis Grizzlies
New Orleans,Hornets,2003,2013,New Orleans Pelicans
Oklahoma City,Hornets,2006,2007,New Orleans Pelicans
New Orleans,Pelicans,2014,2026,New Orleans Pelicans
Seattle,SuperSonics,1968,2008,Oklahoma City Thunder
Oklahoma City,Thunder,2009,2026,Oklahoma City Thunder
Syracuse,Nationals,1950,1963,Philadelphia 76ers
Philadelphia,76ers,1964,2026,Philadelphia 76ers
Rochester,Royals,1949,1957,Sacramento Kings
Cincinnati,Royals,1958,1972,Sacramento Kings
Kansas City-Omaha,Kings,1973,1975,Sacramento Kings
Kansas City,Kings,1976,1985,Sacramento Kings
Sacramento,Kings,1986,2026,Sacramento Kings
New Orleans,Jazz,1975,1979,Utah Jazz
Utah,Jazz,1980,2026,Utah Jazz
Chicago,Packers,1962,1962,Washington Wizards
Chicago,Zephyrs,1963,1963,Washington Wizards
Baltimore,Bullets,1964,1973,Washington Wizards
Capital,Bullets,1974,1974,Washington Wizards
Washington,Bullets,1975,1997,Washington Wizards
Washington,Wizards,1998,2026,Washington Wizards
